banchostats_id,users_irc,users_osu,multiplayer_games,date
1,112,9124,293,2016-06-08 10:14:36
2,112,9125,302,2016-06-08 10:13:31
3,112,9110,297,2016-06-08 10:12:26
4,112,9133,297,2016-06-08 10:11:22
5,111,9130,299,2016-06-08 10:10:17
6,111,9106,300,2016-06-08 10:09:12
7,112,9116,294,2016-06-08 10:08:07
8,112,9146,291,2016-06-08 10:07:03
9,111,9130,296,2016-06-08 10:05:58
10,111,9177,292,2016-06-08 10:04:54
11,111,9203,295,2016-06-08 10:03:49
12,113,9229,295,2016-06-08 10:02:44
13,115,9277,296,2016-06-08 10:01:39
14,115,9319,289,2016-06-08 10:00:34
15,114,9315,288,2016-06-08 09:59:30
16,115,9311,293,2016-06-08 09:58:25
17,116,9337,291,2016-06-08 09:57:20
18,116,9336,295,2016-06-08 09:56:16
19,116,9345,291,2016-06-08 09:55:12
20,115,9336,286,2016-06-08 09:54:07
21,115,9360,290,2016-06-08 09:53:03
22,115,9363,288,2016-06-08 09:51:58
23,114,9342,288,2016-06-08 09:50:53
24,114,9308,285,2016-06-08 09:49:48
25,115,9289,285,2016-06-08 09:48:43
26,115,9288,280,2016-06-08 09:47:38
27,115,9285,283,2016-06-08 09:46:33
28,115,9308,284,2016-06-08 09:45:28
29,115,9294,285,2016-06-08 09:44:23
30,115,9294,282,2016-06-08 09:43:17
31,116,9325,294,2016-06-08 09:42:12
32,115,9292,291,2016-06-08 09:41:07
33,116,9328,293,2016-06-08 09:40:02
34,117,9310,297,2016-06-08 09:38:57
35,118,9320,299,2016-06-08 09:37:52
36,118,9323,300,2016-06-08 09:36:47
37,118,9318,298,2016-06-08 09:35:43
38,119,9328,298,2016-06-08 09:34:38
39,118,9306,294,2016-06-08 09:33:34
40,117,9320,299,2016-06-08 09:32:29
41,118,9322,301,2016-06-08 09:31:24
42,118,9308,293,2016-06-08 09:30:19
43,118,9292,295,2016-06-08 09:29:15
44,118,9283,294,2016-06-08 09:28:10
45,118,9289,299,2016-06-08 09:27:06
46,119,9321,299,2016-06-08 09:26:01
47,119,9323,307,2016-06-08 09:24:56
48,119,9362,305,2016-06-08 09:23:52
49,118,9386,296,2016-06-08 09:22:47
50,118,9415,292,2016-06-08 09:21:42
51,118,9427,289,2016-06-08 09:20:37
52,118,9418,285,2016-06-08 09:19:33
53,118,9431,290,2016-06-08 09:18:29
54,119,9428,289,2016-06-08 09:17:24
55,120,9447,292,2016-06-08 09:16:19
56,118,9438,287,2016-06-08 09:15:14
57,118,9437,283,2016-06-08 09:14:09
58,119,9426,298,2016-06-08 09:13:04
59,121,9408,297,2016-06-08 09:11:59
60,122,9404,298,2016-06-08 09:10:55
61,121,9447,298,2016-06-08 09:09:51
62,121,9447,301,2016-06-08 09:08:46
63,121,9486,300,2016-06-08 09:07:41
64,120,9480,296,2016-06-08 09:06:37
65,121,9440,297,2016-06-08 09:05:32
66,120,9441,304,2016-06-08 09:04:26
67,121,9459,308,2016-06-08 09:03:22
68,121,9447,309,2016-06-08 09:02:18
69,122,9476,314,2016-06-08 09:01:13
70,123,9503,309,2016-06-08 09:00:07
71,122,9502,308,2016-06-08 08:59:03
72,122,9523,316,2016-06-08 08:57:58
73,121,9516,316,2016-06-08 08:56:52
74,121,9512,314,2016-06-08 08:55:47
75,121,9550,316,2016-06-08 08:54:43
76,121,9533,311,2016-06-08 08:53:37
77,120,9536,315,2016-06-08 08:52:32
78,120,9573,312,2016-06-08 08:51:27
79,120,9579,310,2016-06-08 08:50:20
80,119,9580,309,2016-06-08 08:49:15
81,120,9587,313,2016-06-08 08:48:10
82,120,9592,313,2016-06-08 08:47:05
83,119,9600,312,2016-06-08 08:45:59
84,117,9550,316,2016-06-08 08:44:54
85,118,9564,313,2016-06-08 08:43:49
86,118,9605,310,2016-06-08 08:42:43
87,118,9613,311,2016-06-08 08:41:38
88,117,9621,311,2016-06-08 08:40:33
89,117,9638,309,2016-06-08 08:39:27
90,117,9639,309,2016-06-08 08:38:23
91,117,9660,317,2016-06-08 08:37:18
92,116,9632,313,2016-06-08 08:36:12
93,116,9612,311,2016-06-08 08:35:07
94,117,9614,303,2016-06-08 08:34:02
95,117,9625,301,2016-06-08 08:32:56
96,118,9619,311,2016-06-08 08:31:51
97,117,9605,310,2016-06-08 08:30:46
98,117,9604,315,2016-06-08 08:29:40
99,119,9575,312,2016-06-08 08:28:35
100,120,9570,314,2016-06-08 08:27:30
101,119,9586,315,2016-06-08 08:26:25
102,119,9603,319,2016-06-08 08:25:20
103,119,9651,320,2016-06-08 08:24:15
104,119,9663,309,2016-06-08 08:23:09
105,118,9686,312,2016-06-08 08:22:03
106,118,9681,306,2016-06-08 08:20:57
107,118,9652,304,2016-06-08 08:19:51
108,118,9630,306,2016-06-08 08:18:46
109,118,9612,300,2016-06-08 08:17:41
110,118,9649,303,2016-06-08 08:16:36
111,120,9674,307,2016-06-08 08:15:31
112,118,9658,314,2016-06-08 08:14:25
113,118,9642,311,2016-06-08 08:13:20
114,118,9675,319,2016-06-08 08:12:15
115,118,9661,326,2016-06-08 08:11:10
116,117,9672,325,2016-06-08 08:10:05
117,117,9642,326,2016-06-08 08:08:59
118,117,9625,325,2016-06-08 08:07:54
119,117,9623,325,2016-06-08 08:06:48
120,118,9628,331,2016-06-08 08:05:43
121,118,9649,332,2016-06-08 08:04:38
122,118,9628,332,2016-06-08 08:03:32
123,119,9635,332,2016-06-08 08:02:27
124,119,9619,332,2016-06-08 08:01:21
125,121,9643,321,2016-06-08 08:00:15
126,121,9649,323,2016-06-08 07:59:11
127,122,9629,314,2016-06-08 07:58:05
128,120,9621,317,2016-06-08 07:57:00
129,121,9633,314,2016-06-08 07:55:56
130,121,9648,308,2016-06-08 07:54:51
131,119,9689,304,2016-06-08 07:53:47
132,119,9696,307,2016-06-08 07:52:42
133,119,9673,299,2016-06-08 07:51:36
134,119,9649,301,2016-06-08 07:50:31
135,119,9694,306,2016-06-08 07:49:26
136,118,9704,306,2016-06-08 07:48:20
137,119,9691,305,2016-06-08 07:47:15
138,119,9673,305,2016-06-08 07:46:10
